================ Training Loss (Sun Nov 29 23:10:38 2020) ================
(epoch: 71, iters: 28014, time: 0.090, data: 0.210) D_A: 0.294 G_A: 0.504 cycle_A: 0.977 idt_A: 1.096 D_B: 0.294 G_B: 0.527 cycle_B: 2.295 idt_B: 0.447 
(epoch: 72, iters: 29348, time: 0.091, data: 0.189) D_A: 0.046 G_A: 0.710 cycle_A: 1.906 idt_A: 0.445 D_B: 0.166 G_B: 0.595 cycle_B: 0.835 idt_B: 0.841 
(epoch: 73, iters: 30682, time: 0.087, data: 0.176) D_A: 0.195 G_A: 0.606 cycle_A: 1.267 idt_A: 0.525 D_B: 0.158 G_B: 0.225 cycle_B: 0.978 idt_B: 0.511 
(epoch: 74, iters: 32016, time: 0.099, data: 0.175) D_A: 0.197 G_A: 0.211 cycle_A: 1.166 idt_A: 0.448 D_B: 0.120 G_B: 0.712 cycle_B: 0.991 idt_B: 0.401 
(epoch: 75, iters: 33350, time: 0.091, data: 0.186) D_A: 0.105 G_A: 0.433 cycle_A: 0.889 idt_A: 0.493 D_B: 0.300 G_B: 0.428 cycle_B: 0.881 idt_B: 0.344 
(epoch: 76, iters: 34684, time: 0.090, data: 0.190) D_A: 0.247 G_A: 0.734 cycle_A: 1.134 idt_A: 1.551 D_B: 0.093 G_B: 0.466 cycle_B: 2.747 idt_B: 0.514 
(epoch: 77, iters: 36018, time: 0.091, data: 0.191) D_A: 0.548 G_A: 0.032 cycle_A: 1.600 idt_A: 0.682 D_B: 0.382 G_B: 0.966 cycle_B: 0.881 idt_B: 0.680 
(epoch: 78, iters: 37352, time: 0.090, data: 0.180) D_A: 0.144 G_A: 0.542 cycle_A: 0.689 idt_A: 0.424 D_B: 0.235 G_B: 0.372 cycle_B: 1.054 idt_B: 0.211 
(epoch: 79, iters: 38686, time: 0.088, data: 0.161) D_A: 0.099 G_A: 0.274 cycle_A: 2.066 idt_A: 0.332 D_B: 0.256 G_B: 0.265 cycle_B: 0.958 idt_B: 1.082 
(epoch: 80, iters: 40020, time: 0.088, data: 0.163) D_A: 0.023 G_A: 0.583 cycle_A: 1.297 idt_A: 0.585 D_B: 0.265 G_B: 0.750 cycle_B: 1.671 idt_B: 0.399 
(epoch: 81, iters: 41354, time: 0.094, data: 0.179) D_A: 0.082 G_A: 0.649 cycle_A: 0.924 idt_A: 0.343 D_B: 0.210 G_B: 0.156 cycle_B: 0.817 idt_B: 0.263 
